# MarsWorm | V5 A plant on open Mars | Exp 2 | Can a plant dry out and revive, night after night?
# Sheet: care_log.csv | blank, to be filled in by hand at the bench | every column is defined in the codebook for this experiment
tray_id,month,day,date,on_schedule,light_hours,mould_seen,notes
T20,2,60,,,,,
T20,3,90,,,,,
T20,4,120,,,,,
T20,5,150,,,,,
T20,6,180,,,,,
T20,7,210,,,,,
T20,8,240,,,,,
T20,9,270,,,,,
T20,10,300,,,,,
T20,11,330,,,,,
T20,12,360,,,,,
T21,1,30,,,,,
T21,2,60,,,,,
T21,3,90,,,,,
T21,4,120,,,,,
T21,5,150,,,,,
T21,6,180,,,,,
T21,7,210,,,,,
T21,8,240,,,,,
T21,9,270,,,,,
T21,10,300,,,,,
T21,11,330,,,,,
T21,12,360,,,,,
T22,1,30,,,,,
T22,2,60,,,,,
T22,3,90,,,,,
T22,4,120,,,,,
T22,5,150,,,,,
T22,6,180,,,,,
T22,7,210,,,,,
T22,8,240,,,,,
T22,9,270,,,,,
T22,10,300,,,,,
T22,11,330,,,,,
T22,12,360,,,,,
T23,1,30,,,,,
T23,2,60,,,,,
T23,3,90,,,,,
T23,4,120,,,,,
T23,5,150,,,,,
T23,6,180,,,,,
T23,7,210,,,,,
T23,8,240,,,,,
T23,9,270,,,,,
T23,10,300,,,,,
T23,11,330,,,,,
T23,12,360,,,,,
T24,1,30,,,,,
T24,2,60,,,,,
T24,3,90,,,,,
T24,4,120,,,,,
T24,5,150,,,,,
T24,6,180,,,,,
T24,7,210,,,,,
T24,8,240,,,,,
T24,9,270,,,,,
T24,10,300,,,,,
T24,11,330,,,,,
T24,12,360,,,,,
